Nome da música,Nome do artista,Álbum,Data de lançamento do álbum,Qtd músicas no álbum,Duração em min,Conteúdo explícito,Preview da música,Energia,Ao vivo,Acústica,Instrumental,Dançabilidade,Volume
Heaven,'Bryan Adams',Reckless (30th Anniversary / Deluxe Edition),1984-11-05,32,4.056,False,https://p.scdn.co/mp3-preview/a02f96375ee67e1e572e9ff777a710f7e950a017?cid=441ef608cf0446bbbe5aab69a0c35328,0.589,0.122,0.0465,0,0.382,-7.315
CASTLE OF GLASS,'Linkin Park',LIVING THINGS,2012-06-20,12,3.4233333333333333,False,https://p.scdn.co/mp3-preview/4a1db9ba57b75cd319509e90d45045668ed3a575?cid=441ef608cf0446bbbe5aab69a0c35328,0.911,0.0908,0.0686,0.00188,0.615,-3.584
What Are You Waiting For?,'Nickelback',No Fixed Address,2014-11-17,11,3.648433333333333,False,https://p.scdn.co/mp3-preview/a3bd3e783def429317803e0ff9495934339895b4?cid=441ef608cf0446bbbe5aab69a0c35328,0.826,0.279,0.0313,0,0.505,-8.106
Centuries,'Fall Out Boy',American Beauty/American Psycho,2015-01-20,11,3.806,False,https://p.scdn.co/mp3-preview/d6fcac6047be8c069b563701022ce2713d7c05cf?cid=441ef608cf0446bbbe5aab69a0c35328,0.858,0.102,0.00359,0,0.393,-2.868
Snow (Hey Oh),'Red Hot Chili Peppers',Stadium Arcadium,2006-05-09,29,5.577766666666666,False,https://p.scdn.co/mp3-preview/d1e419a7f2aa9ba761be88802dbd3560b8f99776?cid=441ef608cf0446bbbe5aab69a0c35328,0.9,0.119,0.116,1.75e-05,0.427,-3.674
It's Time,'Imagine Dragons',Night Visions,2012-09-04,14,4.0051,False,https://p.scdn.co/mp3-preview/390931351d05dfaf8a423f0981d1dc754f02a353?cid=441ef608cf0446bbbe5aab69a0c35328,0.884,0.144,0.0162,0,0.656,-4.748
Zombie,'The Cranberries',No Need To Argue (The Complete Sessions 1994-1995),1994-10-03,18,5.107333333333333,False,https://p.scdn.co/mp3-preview/17be792bc7651304002a6dcea847087501c8305a?cid=441ef608cf0446bbbe5aab69a0c35328,0.649,0.367,0.0158,0.00591,0.309,-8.994
You Give Love A Bad Name,'Bon Jovi',Slippery When Wet,1986-08-16,10,3.7117666666666667,False,https://p.scdn.co/mp3-preview/8725d17310a4bb00377f22ef21fe93fc5fbff0da?cid=441ef608cf0446bbbe5aab69a0c35328,0.96,0.344,0.0663,2.25e-06,0.541,-2.947
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",'Aerosmith',I Don't Want To Miss A Thing EP,1998-08-18,3,4.995383333333334,False,https://p.scdn.co/mp3-preview/86ecdf40da3f39266dc8a44fe6bbac98abe760ca?cid=441ef608cf0446bbbe5aab69a0c35328,0.649,0.216,0.172,0,0.39,-5.163
Under Pressure - Remastered 2011,"'David Bowie', 'Queen'",Hot Space (2011 Remaster),1982-05-03,11,4.140666666666666,False,https://p.scdn.co/mp3-preview/e3f7bdc022347f1b9e15152b67f8437c98b3ca12?cid=441ef608cf0446bbbe5aab69a0c35328,0.712,0.103,0.429,0,0.671,-7.815
Mr. Brightside,'The Killers',Hot Fuss,2004,12,3.7162166666666665,False,https://p.scdn.co/mp3-preview/848b1bd5544e82f62f9cfcec65362d0f5369781f?cid=441ef608cf0446bbbe5aab69a0c35328,0.911,0.0995,0.00121,0,0.352,-5.23
Bring Me To Life,'Evanescence',Fallen,2003-03-04,12,3.93155,False,https://p.scdn.co/mp3-preview/d318a788a3a6a1ecb8cd0f1c924cef18832ff8d2?cid=441ef608cf0446bbbe5aab69a0c35328,0.943,0.242,0.00721,2.06e-06,0.331,-3.188
Sweet Home Alabama,'Lynyrd Skynyrd',Second Helping (Expanded Edition),1974-04-15,11,4.73,False,https://p.scdn.co/mp3-preview/125986ae6eb995983b84776b7e0d368f6a74cbbf?cid=441ef608cf0446bbbe5aab69a0c35328,0.605,0.0863,0.181,0.000331,0.596,-12.145
